locus_tag	ftype	length_bp	gene	EC_number	COG	product
EMFGFLLL_00738	CDS	843	araQ		COG0395	L-arabinose transport system permease protein AraQ
EMFGFLLL_00739	CDS	882	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
EMFGFLLL_00740	CDS	1305	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
EMFGFLLL_00741	CDS	759				hypothetical protein
EMFGFLLL_00742	CDS	1377	tolQ_2			Tol-Pal system protein TolQ
EMFGFLLL_00743	CDS	540	tolQ_3			Tol-Pal system protein TolQ
EMFGFLLL_00744	CDS	405	exbD		COG0848	Biopolymer transport protein ExbD
EMFGFLLL_00745	CDS	621				hypothetical protein
EMFGFLLL_00746	CDS	1179				hypothetical protein
EMFGFLLL_00747	CDS	849	ligA_1	6.5.1.1		DNA ligase
EMFGFLLL_00748	CDS	984				hypothetical protein
EMFGFLLL_00749	CDS	1374	norM_2		COG0534	Multidrug resistance protein NorM
EMFGFLLL_00750	CDS	204				hypothetical protein
EMFGFLLL_00751	CDS	867		2.7.1.-		putative ketoamine kinase
EMFGFLLL_00752	CDS	342				hypothetical protein
EMFGFLLL_00753	CDS	501				hypothetical protein
EMFGFLLL_00754	CDS	2022				hypothetical protein
EMFGFLLL_00755	CDS	792				hypothetical protein
EMFGFLLL_00756	CDS	738				hypothetical protein
EMFGFLLL_00757	CDS	909	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
EMFGFLLL_00758	CDS	276				hypothetical protein
EMFGFLLL_00759	CDS	1821				hypothetical protein
EMFGFLLL_00760	CDS	612	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
EMFGFLLL_00761	CDS	723	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EMFGFLLL_00762	CDS	699	tupB		COG4662	Tungstate uptake system permease protein TupB
EMFGFLLL_00763	CDS	816	tupA			Tungstate-binding protein TupA
EMFGFLLL_00764	CDS	1455	atoC_2		COG2204	Regulatory protein AtoC
EMFGFLLL_00765	CDS	2034	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
EMFGFLLL_00766	CDS	1593	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
EMFGFLLL_00767	CDS	834	fdhD		COG1526	Sulfur carrier protein FdhD
EMFGFLLL_00768	CDS	477				hypothetical protein
EMFGFLLL_00769	CDS	618				hypothetical protein
EMFGFLLL_00770	CDS	1662	napF_1			Ferredoxin-type protein NapF
EMFGFLLL_00771	CDS	672	torD_2			Chaperone protein TorD
EMFGFLLL_00772	CDS	198				hypothetical protein
EMFGFLLL_00773	CDS	2856	napA_1	1.9.6.1		Periplasmic nitrate reductase
EMFGFLLL_00774	CDS	609	fdhB1		COG0437	Formate dehydrogenase iron-sulfur subunit
EMFGFLLL_00775	CDS	1068				hypothetical protein
EMFGFLLL_00776	CDS	423				hypothetical protein
EMFGFLLL_00777	CDS	741	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
EMFGFLLL_00778	CDS	483				hypothetical protein
EMFGFLLL_00779	CDS	1062	aroH	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
EMFGFLLL_00780	CDS	477				hypothetical protein
EMFGFLLL_00781	CDS	1350				hypothetical protein
EMFGFLLL_00782	CDS	834	cvfB			Conserved virulence factor B
EMFGFLLL_00783	CDS	1422	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
EMFGFLLL_00784	CDS	2640	yebT		COG3008	Intermembrane transport protein YebT
EMFGFLLL_00785	CDS	1245	yebS		COG2995	Intermembrane transport protein YebS
EMFGFLLL_00786	CDS	1797		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
EMFGFLLL_00787	CDS	549	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
EMFGFLLL_00788	CDS	627	proQ		COG3109	RNA chaperone ProQ
EMFGFLLL_00789	CDS	1998	prc	3.4.21.102	COG0793	Tail-specific protease
EMFGFLLL_00790	CDS	672				hypothetical protein
EMFGFLLL_00791	CDS	2607	pepN	3.4.11.2	COG0308	Aminopeptidase N
EMFGFLLL_00792	CDS	4842	gdhB	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
EMFGFLLL_00793	CDS	1011	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
EMFGFLLL_00794	CDS	543	zapC			Cell division protein ZapC
EMFGFLLL_00795	CDS	2127	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
EMFGFLLL_00796	CDS	243				hypothetical protein
EMFGFLLL_00797	CDS	1920	uup		COG0488	ABC transporter ATP-binding protein uup
EMFGFLLL_00798	CDS	1695				hypothetical protein
EMFGFLLL_00799	CDS	174	rmf		COG3130	Ribosome modulation factor
EMFGFLLL_00800	CDS	519	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
EMFGFLLL_00801	CDS	1650	lon_2	3.4.21.53		Lon protease
EMFGFLLL_00802	CDS	450	matP		COG3120	Macrodomain Ter protein
EMFGFLLL_00803	CDS	324				hypothetical protein
EMFGFLLL_00804	CDS	333				hypothetical protein
EMFGFLLL_00805	CDS	180				hypothetical protein
EMFGFLLL_00806	CDS	1698	sgrR_2		COG4533	HTH-type transcriptional regulator SgrR
EMFGFLLL_00807	CDS	234				hypothetical protein
EMFGFLLL_00808	CDS	453	menI	3.1.2.28	COG2050	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
EMFGFLLL_00809	CDS	792	bepA_4	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
EMFGFLLL_00810	CDS	483				hypothetical protein
EMFGFLLL_00811	CDS	786				hypothetical protein
EMFGFLLL_00812	CDS	669	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
EMFGFLLL_00813	CDS	612	gstB	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
EMFGFLLL_00814	CDS	597	comR_1			HTH-type transcriptional repressor ComR
EMFGFLLL_00815	CDS	393				hypothetical protein
EMFGFLLL_00816	CDS	1593	yejF_1		COG4172	putative ABC transporter ATP-binding protein YejF
EMFGFLLL_00817	CDS	1056	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
EMFGFLLL_00818	CDS	1098	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
EMFGFLLL_00819	CDS	1818				hypothetical protein
EMFGFLLL_00820	CDS	522	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
EMFGFLLL_00821	CDS	933				hypothetical protein
EMFGFLLL_00822	CDS	252				hypothetical protein
EMFGFLLL_00823	CDS	954				hypothetical protein
EMFGFLLL_00824	CDS	1434	dtpA_1		COG3104	Dipeptide and tripeptide permease A
EMFGFLLL_00825	CDS	906				hypothetical protein
EMFGFLLL_00826	CDS	705	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
EMFGFLLL_00827	CDS	1701				hypothetical protein
EMFGFLLL_00828	CDS	1173	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EMFGFLLL_00829	CDS	1008			COG1840	putative protein
EMFGFLLL_00830	CDS	1104	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
EMFGFLLL_00831	CDS	1398		5.1.1.21	COG0160	Isoleucine 2-epimerase
EMFGFLLL_00832	CDS	813	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
EMFGFLLL_00833	CDS	408	rnk		COG0782	Regulator of nucleoside diphosphate kinase
EMFGFLLL_00834	CDS	675	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
EMFGFLLL_00835	CDS	177				hypothetical protein
EMFGFLLL_00836	CDS	651	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
EMFGFLLL_00837	CDS	411	mscL		COG1970	Large-conductance mechanosensitive channel
EMFGFLLL_00838	CDS	1749	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
EMFGFLLL_00839	CDS	1137	msrAB		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB
EMFGFLLL_00840	CDS	654	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
EMFGFLLL_00841	CDS	1236	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
EMFGFLLL_00842	CDS	759	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
EMFGFLLL_00843	CDS	369				hypothetical protein
EMFGFLLL_00844	CDS	831	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
EMFGFLLL_00845	CDS	996	deoR		COG2390	Deoxyribonucleoside regulator
EMFGFLLL_00846	CDS	951	tal	2.2.1.2		Transaldolase
EMFGFLLL_00847	CDS	1995	tktA_1	2.2.1.1	COG0021	Transketolase 1
EMFGFLLL_00848	CDS	2253				hypothetical protein
EMFGFLLL_00849	CDS	513	trmL_1	2.1.1.207		tRNA (cytidine(34)-2'-O)-methyltransferase
EMFGFLLL_00850	CDS	735	bchE	1.21.98.3		Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase
EMFGFLLL_00851	CDS	474				hypothetical protein
EMFGFLLL_00852	CDS	465				hypothetical protein
EMFGFLLL_00853	CDS	1041				hypothetical protein
EMFGFLLL_00854	CDS	954	ghrB	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
EMFGFLLL_00855	CDS	516				hypothetical protein
EMFGFLLL_00856	CDS	546	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
EMFGFLLL_00857	CDS	453	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
EMFGFLLL_00858	CDS	351	ydgC		COG3136	Inner membrane protein YdgC
EMFGFLLL_00859	CDS	726				hypothetical protein
EMFGFLLL_00860	CDS	942	dmlR_3			HTH-type transcriptional regulator DmlR
EMFGFLLL_00861	CDS	291		1.-.-.-	COG1359	Putative monooxygenase
EMFGFLLL_00862	CDS	654	nfsB	1.-.-.-	COG0778	Oxygen-insensitive NAD(P)H nitroreductase
EMFGFLLL_00863	CDS	3159	swrC		COG0841	Swarming motility protein SwrC
EMFGFLLL_00864	CDS	1005	mdtE			Multidrug resistance protein MdtE
EMFGFLLL_00865	CDS	459				hypothetical protein
EMFGFLLL_00866	CDS	420				hypothetical protein
EMFGFLLL_00867	CDS	318	bigR		COG0640	Biofilm growth-associated repressor
EMFGFLLL_00868	CDS	186				hypothetical protein
EMFGFLLL_00869	CDS	1704	cdr	1.8.1.14		Coenzyme A disulfide reductase
EMFGFLLL_00870	CDS	381				hypothetical protein
EMFGFLLL_00871	CDS	1746				hypothetical protein
EMFGFLLL_00872	CDS	447				hypothetical protein
EMFGFLLL_00873	CDS	747				hypothetical protein
EMFGFLLL_00874	CDS	543				hypothetical protein
EMFGFLLL_00875	CDS	1137				hypothetical protein
EMFGFLLL_00876	CDS	582				hypothetical protein
EMFGFLLL_00877	CDS	438				hypothetical protein
EMFGFLLL_00878	CDS	1440	treP		COG1263	PTS system trehalose-specific EIIBC component
EMFGFLLL_00879	CDS	993	ccpA		COG1609	Catabolite control protein A
EMFGFLLL_00880	CDS	1647	scrB	3.2.1.26	COG1621	Sucrose-6-phosphate hydrolase
EMFGFLLL_00881	CDS	921	scrK	2.7.1.4	COG0524	Fructokinase
EMFGFLLL_00882	CDS	1539	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
EMFGFLLL_00883	CDS	1611	aer_1		COG0840	Aerotaxis receptor
EMFGFLLL_00884	CDS	615	pal_3			Peptidoglycan-associated lipoprotein
EMFGFLLL_00885	CDS	474	fkpA_1	5.2.1.8	COG0545	putative FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
EMFGFLLL_00886	CDS	606	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
EMFGFLLL_00887	CDS	1764				hypothetical protein
EMFGFLLL_00888	CDS	1368	dcuD		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
EMFGFLLL_00889	CDS	1371	sdaA_1	4.3.1.17	COG1760	L-serine dehydratase 1
EMFGFLLL_00890	CDS	1542	sglT			Sodium/glucose cotransporter
EMFGFLLL_00891	CDS	1296	yjhB			Putative metabolite transport protein YjhB
EMFGFLLL_00892	CDS	1017				hypothetical protein
EMFGFLLL_00893	CDS	1032	exuR		COG1609	putative HTH-type transcriptional repressor ExuR
EMFGFLLL_00894	CDS	627	vraR			Response regulator protein VraR
EMFGFLLL_00895	CDS	1689	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
EMFGFLLL_00896	CDS	495	napF_2		COG1145	Ferredoxin-type protein NapF
EMFGFLLL_00897	CDS	321	napD			Chaperone NapD
EMFGFLLL_00898	CDS	2490	napA_2	1.9.6.1		Periplasmic nitrate reductase
EMFGFLLL_00899	CDS	456				hypothetical protein
EMFGFLLL_00900	CDS	576	napC			Cytochrome c-type protein NapC
EMFGFLLL_00901	CDS	129				hypothetical protein
EMFGFLLL_00902	CDS	1269		3.1.4.-	COG2206	3'3'-cGAMP-specific phosphodiesterase 1
EMFGFLLL_00903	CDS	627	uhpA		COG2197	Transcriptional regulatory protein UhpA
EMFGFLLL_00904	CDS	630				hypothetical protein
EMFGFLLL_00905	CDS	951	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
EMFGFLLL_00906	CDS	1311	uhpC_1		COG2271	Membrane sensor protein UhpC
EMFGFLLL_00907	CDS	1035			COG1840	putative protein
EMFGFLLL_00908	CDS	2097				hypothetical protein
EMFGFLLL_00909	CDS	1056	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
EMFGFLLL_00910	CDS	1776	phaC	2.3.1.-	COG3243	Poly(3-hydroxyalkanoate) polymerase subunit PhaC
EMFGFLLL_00911	CDS	348				hypothetical protein
EMFGFLLL_00912	CDS	1206	phaA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
EMFGFLLL_00913	CDS	741	phaB	1.1.1.36		Acetoacetyl-CoA reductase
EMFGFLLL_00914	CDS	903	secF_1		COG0341	Protein translocase subunit SecF
EMFGFLLL_00915	CDS	1839	secD_1		COG0342	Protein translocase subunit SecD
EMFGFLLL_00916	CDS	456				hypothetical protein
EMFGFLLL_00917	CDS	672				hypothetical protein
EMFGFLLL_00918	CDS	1884				hypothetical protein
EMFGFLLL_00919	CDS	1224	glgC_2	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
EMFGFLLL_00920	CDS	3156	endo I_1	3.2.1.14		Chitodextrinase
EMFGFLLL_00921	CDS	1149	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
EMFGFLLL_00922	CDS	618				hypothetical protein
EMFGFLLL_00923	CDS	1263	dctD_2			C4-dicarboxylate transport transcriptional regulatory protein DctD
EMFGFLLL_00924	CDS	2370	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
EMFGFLLL_00925	CDS	1293	pgtC		COG1840	Phosphoglycerate transport regulatory protein PgtC
EMFGFLLL_00926	CDS	1380	uhpC_2		COG2271	Membrane sensor protein UhpC
EMFGFLLL_00927	CDS	1461	pykA_2	2.7.1.40	COG0469	Pyruvate kinase II
EMFGFLLL_00928	CDS	2952	torS	2.7.13.3	COG0784	Sensor protein TorS
EMFGFLLL_00929	CDS	993	torT		COG1879	Periplasmic protein TorT
EMFGFLLL_00930	CDS	456	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
EMFGFLLL_00931	CDS	621	pncA	3.5.1.19	COG1335	Nicotinamidase
EMFGFLLL_00932	CDS	357	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
EMFGFLLL_00933	CDS	309				hypothetical protein
EMFGFLLL_00934	CDS	537				hypothetical protein
EMFGFLLL_00935	CDS	2100	helD	3.6.4.12	COG0210	DNA helicase IV
EMFGFLLL_00936	CDS	2178	yccS		COG1289	Inner membrane protein YccS
EMFGFLLL_00937	CDS	948	zraS	2.7.13.3		Sensor protein ZraS
EMFGFLLL_00938	CDS	546				hypothetical protein
EMFGFLLL_00939	CDS	225				hypothetical protein
EMFGFLLL_00940	CDS	291				hypothetical protein
EMFGFLLL_00941	CDS	1254	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
EMFGFLLL_00942	CDS	1101	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EMFGFLLL_00943	CDS	696	modB		COG4149	Molybdenum transport system permease protein ModB
EMFGFLLL_00944	CDS	759	modA		COG0725	Molybdate-binding protein ModA
EMFGFLLL_00945	CDS	1716	cobQ			Cobyric acid synthase
EMFGFLLL_00946	CDS	2115				hypothetical protein
EMFGFLLL_00947	CDS	306				hypothetical protein
EMFGFLLL_00948	CDS	399			COG3111	putative protein
EMFGFLLL_00949	CDS	519				hypothetical protein
EMFGFLLL_00950	CDS	666				hypothetical protein
EMFGFLLL_00951	CDS	2574	luxQ	2.7.13.3		Autoinducer 2 sensor kinase/phosphatase LuxQ
EMFGFLLL_00952	CDS	1095	luxP		COG1879	Autoinducer 2-binding periplasmic protein LuxP
EMFGFLLL_00953	CDS	1161				hypothetical protein
EMFGFLLL_00954	CDS	306				hypothetical protein
EMFGFLLL_00955	CDS	651				hypothetical protein
EMFGFLLL_00956	CDS	198				hypothetical protein
EMFGFLLL_00957	CDS	321				hypothetical protein
EMFGFLLL_00958	CDS	150				hypothetical protein
EMFGFLLL_00959	CDS	252				hypothetical protein
EMFGFLLL_00960	CDS	1518	glpK	2.7.1.30	COG0554	Glycerol kinase
EMFGFLLL_00961	CDS	855	glpF		COG0580	Glycerol uptake facilitator protein
EMFGFLLL_00962	CDS	1644	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
EMFGFLLL_00963	CDS	1311	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
EMFGFLLL_00964	CDS	1242	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
EMFGFLLL_00965	CDS	1089	fabH2	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2
EMFGFLLL_00966	CDS	435	trxC	1.8.1.8	COG0526	Thioredoxin 2
EMFGFLLL_00967	CDS	1155	ycaD			putative MFS-type transporter YcaD
EMFGFLLL_00968	CDS	789				hypothetical protein
EMFGFLLL_00969	tRNA	74				tRNA-Cys(gca)
EMFGFLLL_00970	tRNA	87				tRNA-Leu(taa)
EMFGFLLL_00971	CDS	501	cetB	5.1.3.33		2-epi-5-epi-valiolone epimerase
EMFGFLLL_00972	CDS	906	cysL		COG0583	HTH-type transcriptional regulator CysL
EMFGFLLL_00973	CDS	669	artM		COG4160	Arginine ABC transporter permease protein ArtM
EMFGFLLL_00974	CDS	690	artQ		COG4215	Arginine ABC transporter permease protein ArtQ
EMFGFLLL_00975	CDS	732	artI_1		COG0834	Putative ABC transporter arginine-binding protein 2
EMFGFLLL_00976	CDS	744	artP	3.6.3.-	COG4161	Arginine transport ATP-binding protein ArtP
EMFGFLLL_00977	tRNA	74				tRNA-Cys(gca)
EMFGFLLL_00978	CDS	1446	viaA		COG2425	Protein ViaA
EMFGFLLL_00979	CDS	1659	ravA	3.6.3.-	COG0714	ATPase RavA
EMFGFLLL_00980	CDS	516	nudF_1	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
EMFGFLLL_00981	CDS	1008	ltaE	4.1.2.48	COG2008	Low specificity L-threonine aldolase
EMFGFLLL_00982	CDS	309				Cytochrome c-554(548)
EMFGFLLL_00983	CDS	735	betI			HTH-type transcriptional regulator BetI
EMFGFLLL_00984	CDS	1272	rhlE_1	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
EMFGFLLL_00985	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
EMFGFLLL_00986	CDS	120				hypothetical protein
EMFGFLLL_00987	CDS	1203	tyrP		COG0814	Tyrosine-specific transport protein
EMFGFLLL_00988	CDS	1422	smc_2			Chromosome partition protein Smc
EMFGFLLL_00989	CDS	1017	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
EMFGFLLL_00990	CDS	741	pxpA3	3.5.2.9	COG1540	5-oxoprolinase subunit A 3
EMFGFLLL_00991	CDS	711	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
EMFGFLLL_00992	CDS	930	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
EMFGFLLL_00993	CDS	1434	mnmC_2	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
EMFGFLLL_00994	CDS	1167	ugd_1	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
EMFGFLLL_00995	CDS	2448				hypothetical protein
EMFGFLLL_00996	CDS	678	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
EMFGFLLL_00997	CDS	498		3.1.1.2		Arylesterase
EMFGFLLL_00998	CDS	1209	fabV_2	1.3.1.9		Enoyl-[acyl-carrier-protein] reductase [NADH]
EMFGFLLL_00999	CDS	1884				hypothetical protein
EMFGFLLL_01000	CDS	1650				hypothetical protein
EMFGFLLL_01001	CDS	630	dnaJ_1			Chaperone protein DnaJ
EMFGFLLL_01002	CDS	588	yjdF		COG3647	Inner membrane protein YjdF
EMFGFLLL_01003	CDS	129				hypothetical protein
EMFGFLLL_01004	CDS	222				hypothetical protein
EMFGFLLL_01005	CDS	681	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
EMFGFLLL_01006	CDS	507				hypothetical protein
EMFGFLLL_01007	CDS	483				hypothetical protein
EMFGFLLL_01008	CDS	1368	gsk_1	2.7.1.73	COG0524	Inosine-guanosine kinase
EMFGFLLL_01009	CDS	1965	mdoB	2.7.8.20		Phosphoglycerol transferase I
EMFGFLLL_01010	CDS	993				hypothetical protein
EMFGFLLL_01011	CDS	1932	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
EMFGFLLL_01012	CDS	2037	rnb	3.1.13.1	COG4776	Exoribonuclease 2
EMFGFLLL_01013	CDS	366				hypothetical protein
EMFGFLLL_01014	CDS	837	pstS1_1		COG0226	Phosphate-binding protein PstS 1
EMFGFLLL_01015	CDS	672				hypothetical protein
EMFGFLLL_01016	CDS	1551	phrB	4.1.99.13	COG3046	(6-4) photolyase
EMFGFLLL_01017	CDS	1458	gbpA_1		COG3397	GlcNAc-binding protein A
EMFGFLLL_01018	CDS	1428				hypothetical protein
EMFGFLLL_01019	CDS	1506		3.4.11.10		Bacterial leucyl aminopeptidase
EMFGFLLL_01020	CDS	930	speB	3.5.3.11	COG0010	Agmatinase
EMFGFLLL_01021	CDS	1965	speA	4.1.1.19		Biosynthetic arginine decarboxylase
EMFGFLLL_01022	CDS	561				hypothetical protein
EMFGFLLL_01023	CDS	1347	mgtE		COG2239	Magnesium transporter MgtE
EMFGFLLL_01024	CDS	291	groS_1		COG0234	10 kDa chaperonin
EMFGFLLL_01025	CDS	1593	groL_1			60 kDa chaperonin
EMFGFLLL_01026	CDS	207				hypothetical protein
EMFGFLLL_01027	CDS	1422	ask	2.7.2.4	COG0527	Aspartate kinase Ask_Ect
EMFGFLLL_01028	CDS	417	ectC	4.2.1.108		L-ectoine synthase
EMFGFLLL_01029	CDS	1266	ectB	2.6.1.76		Diaminobutyrate--2-oxoglutarate transaminase
EMFGFLLL_01030	CDS	543	ectA	2.3.1.178		L-2,4-diaminobutyric acid acetyltransferase
EMFGFLLL_01031	CDS	330		4.2.1.96		Putative pterin-4-alpha-carbinolamine dehydratase
EMFGFLLL_01032	CDS	795	phhA	1.14.16.1	COG3186	Phenylalanine-4-hydroxylase
EMFGFLLL_01033	CDS	1980	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
EMFGFLLL_01034	CDS	918	nodD2			Nodulation protein D 2
EMFGFLLL_01035	CDS	189				hypothetical protein
EMFGFLLL_01036	CDS	579	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
EMFGFLLL_01037	CDS	879	hdfR_1			HTH-type transcriptional regulator HdfR
EMFGFLLL_01038	CDS	897	zitB			Zinc transporter ZitB
EMFGFLLL_01039	CDS	948	yddG			Methyl viologen resistance protein YddG
EMFGFLLL_01040	CDS	573	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
EMFGFLLL_01041	CDS	1314				hypothetical protein
EMFGFLLL_01042	CDS	405	yhfA		COG1765	Protein YhfA
EMFGFLLL_01043	CDS	486	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
EMFGFLLL_01044	CDS	1485	gap2	1.2.1.-		Glyceraldehyde-3-phosphate dehydrogenase-like protein
EMFGFLLL_01045	CDS	225				hypothetical protein
EMFGFLLL_01046	CDS	615	leuE		COG1280	Leucine efflux protein
EMFGFLLL_01047	CDS	306				hypothetical protein
EMFGFLLL_01048	CDS	1320				hypothetical protein
EMFGFLLL_01049	CDS	1245	yjeH		COG0531	L-methionine/branched-chain amino acid exporter YjeH
EMFGFLLL_01050	CDS	981				hypothetical protein
EMFGFLLL_01051	CDS	8409				hypothetical protein
EMFGFLLL_01052	CDS	924	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
EMFGFLLL_01053	CDS	2073	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
EMFGFLLL_01054	CDS	1239			COG2067	47 kDa outer membrane protein
EMFGFLLL_01055	CDS	2403	volA		COG1073	Lysophospholipase VolA
EMFGFLLL_01056	CDS	1281	bdlA_1		COG0840	Biofilm dispersion protein BdlA
EMFGFLLL_01057	CDS	1830	hap	3.4.24.-	COG3227	Hemagglutinin/proteinase
EMFGFLLL_01058	CDS	645	ompW		COG3047	Outer membrane protein W
EMFGFLLL_01059	CDS	237				hypothetical protein
EMFGFLLL_01060	CDS	951	pbpG_1	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
EMFGFLLL_01061	CDS	2217	rnr_1	3.1.13.1	COG0557	Ribonuclease R
EMFGFLLL_01062	CDS	213	cspV_1		COG1278	Cold shock protein CspV
EMFGFLLL_01063	CDS	204				hypothetical protein
EMFGFLLL_01064	CDS	1323	dsdA	4.3.1.18	COG3048	D-serine dehydratase
EMFGFLLL_01065	CDS	945	dsdC		COG0583	HTH-type transcriptional regulator DsdC
EMFGFLLL_01066	CDS	1077	cbh	3.5.1.24		Choloylglycine hydrolase
EMFGFLLL_01067	CDS	1038	rsgA_1	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
EMFGFLLL_01068	CDS	543				hypothetical protein
EMFGFLLL_01069	CDS	1182	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
EMFGFLLL_01070	CDS	1032	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
EMFGFLLL_01071	CDS	1194	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
EMFGFLLL_01072	CDS	96				hypothetical protein
EMFGFLLL_01073	CDS	1269	oah1	2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase 1
EMFGFLLL_01074	CDS	939	dmlR_4			HTH-type transcriptional regulator DmlR
EMFGFLLL_01075	CDS	384	fosA	2.5.1.18		Glutathione transferase FosA
EMFGFLLL_01076	CDS	1413				hypothetical protein
EMFGFLLL_01077	CDS	348				hypothetical protein
EMFGFLLL_01078	CDS	384				hypothetical protein
EMFGFLLL_01079	CDS	747	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
EMFGFLLL_01080	CDS	2889				hypothetical protein
